Source: 0, Dest: 0, Next Node: -1
Source: 0, Dest: 1, Next Node: 3
Source: 0, Dest: 2, Next Node: 3
Source: 0, Dest: 3, Next Node: 0
Source: 0, Dest: 4, Next Node: 3
Source: 0, Dest: 5, Next Node: 3
Source: 0, Dest: 6, Next Node: 3
Source: 0, Dest: 7, Next Node: 3
Source: 0, Dest: 8, Next Node: 3
Source: 0, Dest: 9, Next Node: 3
Source: 0, Dest: 10, Next Node: 3
Source: 0, Dest: 11, Next Node: 3
Source: 0, Dest: 12, Next Node: 3
Source: 0, Dest: 13, Next Node: 3
Source: 0, Dest: 14, Next Node: 3
Source: 0, Dest: 15, Next Node: 3
Source: 0, Dest: 16, Next Node: 3
Source: 0, Dest: 17, Next Node: 3
Source: 0, Dest: 18, Next Node: 3
Source: 0, Dest: 19, Next Node: 3
Source: 0, Dest: 20, Next Node: 3
Source: 0, Dest: 21, Next Node: 3
Source: 0, Dest: 22, Next Node: 3
Source: 0, Dest: 23, Next Node: 3
Source: 0, Dest: 24, Next Node: 3
Source: 0, Dest: 25, Next Node: 3
Source: 0, Dest: 26, Next Node: 3
Source: 0, Dest: 27, Next Node: 3
Source: 0, Dest: 28, Next Node: 3
Source: 0, Dest: 29, Next Node: 3
Source: 0, Dest: 30, Next Node: 3
Source: 0, Dest: 31, Next Node: 3
Source: 0, Dest: 32, Next Node: 3
Source: 0, Dest: 33, Next Node: 3
Source: 0, Dest: 34, Next Node: 3
Source: 0, Dest: 35, Next Node: 3
Source: 0, Dest: 36, Next Node: 3
Source: 0, Dest: 37, Next Node: 3
Source: 0, Dest: 38, Next Node: 3
Source: 0, Dest: 39, Next Node: 3
Source: 0, Dest: 40, Next Node: 3
Source: 1, Dest: 0, Next Node: 3
Source: 1, Dest: 1, Next Node: -1
Source: 1, Dest: 2, Next Node: 14
Source: 1, Dest: 3, Next Node: 1
Source: 1, Dest: 4, Next Node: 14
Source: 1, Dest: 5, Next Node: 14
Source: 1, Dest: 6, Next Node: 1
Source: 1, Dest: 7, Next Node: 14
Source: 1, Dest: 8, Next Node: 14
Source: 1, Dest: 9, Next Node: 14
Source: 1, Dest: 10, Next Node: 14
Source: 1, Dest: 11, Next Node: 14
Source: 1, Dest: 12, Next Node: 14
Source: 1, Dest: 13, Next Node: 14
Source: 1, Dest: 14, Next Node: 1
Source: 1, Dest: 15, Next Node: 14
Source: 1, Dest: 16, Next Node: 14
Source: 1, Dest: 17, Next Node: 14
Source: 1, Dest: 18, Next Node: 14
Source: 1, Dest: 19, Next Node: 14
Source: 1, Dest: 20, Next Node: 14
Source: 1, Dest: 21, Next Node: 14
Source: 1, Dest: 22, Next Node: 14
Source: 1, Dest: 23, Next Node: 14
Source: 1, Dest: 24, Next Node: 14
Source: 1, Dest: 25, Next Node: 14
Source: 1, Dest: 26, Next Node: 14
Source: 1, Dest: 27, Next Node: 14
Source: 1, Dest: 28, Next Node: 14
Source: 1, Dest: 29, Next Node: 14
Source: 1, Dest: 30, Next Node: 14
Source: 1, Dest: 31, Next Node: 14
Source: 1, Dest: 32, Next Node: 14
Source: 1, Dest: 33, Next Node: 14
Source: 1, Dest: 34, Next Node: 14
Source: 1, Dest: 35, Next Node: 14
Source: 1, Dest: 36, Next Node: 14
Source: 1, Dest: 37, Next Node: 14
Source: 1, Dest: 38, Next Node: 14
Source: 1, Dest: 39, Next Node: 14
Source: 1, Dest: 40, Next Node: 14
Source: 2, Dest: 0, Next Node: 13
